GEOID,County,Hogan,Jealous,Quinn,Schlakman,Write_ins_18,Cox,Moore,Lashar,Wallace,Harding,Sefcik,Write_ins_22,Total_Votes_18,Total_Votes_22,Pct_Hogan_18,Pct_Cox_22
24001,Allegany,19224,3985,166,139,16,13833,6390,279,143,267,0,17,23530,20662,81.69995750106247,66.94898848126996
24003,Anne Arundel,157202,69399,1366,1052,187,73775,88375,3554,988,1268,0,588,229206,167280,68.58546460389344,44.10270205643233
24510,Baltimore City,58360,123609,1055,1491,176,11387,112984,1282,1231,1443,0,246,184691,127130,31.598724355815932,8.95697317706285
24005,Baltimore County,198122,122773,1633,1492,256,80759,136462,3993,1648,2409,0,702,324276,223564,61.09672007795828,36.123436689270186
24009,Calvert,29610,9216,303,130,25,18447,14236,504,142,242,0,89,39284,33418,75.37419814682823,55.20078999341672
24011,Caroline,9489,1900,82,28,6,6727,3276,176,56,140,0,21,11505,10256,82.47718383311604,65.5908736349454
24013,Carroll,62445,11767,533,261,45,38969,25155,1515,436,561,0,301,75051,66376,83.20342167326218,58.70947330360371
24015,Cecil,27063,7354,353,154,15,18159,8691,472,155,311,21,35,34939,27533,77.45785511892154,65.95358297315948
24017,Charles,31756,32100,274,193,37,15096,33633,408,283,414,0,78,64360,49498,49.34120571783717,30.49820194755344
24019,Dorchester,9205,3043,72,39,8,6169,4341,139,69,157,0,19,12367,10737,74.43195601196734,57.45552761478998
24021,Frederick,72560,33355,746,499,59,44307,51423,1700,555,722,0,306,107219,98291,67.67457260373628,45.07737229247846
24023,Garrett,9472,1395,86,48,7,8195,2402,194,52,138,0,15,11008,10858,86.04651162790698,75.47430466015841
24025,Harford,85259,24012,756,461,91,51930,40837,2033,618,914,0,301,110579,95719,77.10234312120747,54.25255173998893
24027,Howard,80574,61146,800,752,111,33110,83690,2464,802,713,0,419,143383,120485,56.194946402293155,27.48059924471926
24029,Kent,6370,2222,43,57,2,3718,4256,106,56,93,0,10,8694,8146,73.26892109500805,45.64203289958262
24031,Montgomery,180018,224029,1922,2110,349,58701,227161,3443,2444,1677,0,768,408428,292517,44.075822421577364,20.067551629477943
24033,Prince George's,89925,225889,1469,1423,279,17937,179968,1081,1693,1984,0,314,318985,200993,28.19098076712071,8.924191389749891
24035,Queen Anne's,19503,3268,99,86,15,12840,8577,416,120,212,0,89,22971,22042,84.90270340864569,58.252427184466015
24039,Somerset,5203,2379,71,33,16,3974,2254,67,46,81,0,6,7702,6347,67.55388210854323,62.612257759571456
24041,Talbot,14081,3957,79,66,7,7497,7989,289,70,128,0,44,18190,15889,77.41066520065971,47.183586128768326
24043,Washington,38765,10894,491,268,43,27571,17006,646,257,483,0,75,50461,45555,76.82170389013298,60.52244539567556
24045,Wicomico,22659,10426,284,141,24,14612,12213,388,171,358,0,46,33534,27430,67.57022723206299,53.27014218009478
24047,Worcester,18076,5437,148,82,12,13433,8550,273,121,161,0,31,23755,22408,76.09345400968218,59.94734023563013
