zip,total_calls,NAME,variable,estimate,moe
20707,1,ZCTA5 20707,median_income,82367,4292
20814,10,ZCTA5 20814,median_income,127223,4463
20815,6,ZCTA5 20815,median_income,156686,9377
20816,4,ZCTA5 20816,median_income,216604,9778
20817,18,ZCTA5 20817,median_income,203557,8967
20832,2,ZCTA5 20832,median_income,137282,7399
20833,1,ZCTA5 20833,median_income,161792,21619
20837,2,ZCTA5 20837,median_income,167768,23251
20841,3,ZCTA5 20841,median_income,187500,7194
20850,43,ZCTA5 20850,median_income,109704,5585
20851,6,ZCTA5 20851,median_income,90865,9759
20852,56,ZCTA5 20852,median_income,99589,4105
20853,20,ZCTA5 20853,median_income,118858,5128
20854,8,ZCTA5 20854,median_income,213724,8612
20855,12,ZCTA5 20855,median_income,138947,12093
20860,2,ZCTA5 20860,median_income,95526,28713
20861,1,ZCTA5 20861,median_income,205833,52227
20866,5,ZCTA5 20866,median_income,98227,5986
20871,14,ZCTA5 20871,median_income,128862,7545
20872,8,ZCTA5 20872,median_income,119276,9044
20874,62,ZCTA5 20874,median_income,94378,4274
20876,22,ZCTA5 20876,median_income,96558,7090
20877,50,ZCTA5 20877,median_income,73666,5384
20878,43,ZCTA5 20878,median_income,132917,4938
20879,20,ZCTA5 20879,median_income,89177,9145
20882,8,ZCTA5 20882,median_income,148209,10004
20886,25,ZCTA5 20886,median_income,81710,4569
20895,14,ZCTA5 20895,median_income,147246,6505
20901,19,ZCTA5 20901,median_income,109246,4248
20902,40,ZCTA5 20902,median_income,94360,3815
20903,6,ZCTA5 20903,median_income,69640,3525
20904,40,ZCTA5 20904,median_income,85376,3818
20905,4,ZCTA5 20905,median_income,130071,9929
20906,51,ZCTA5 20906,median_income,75990,3331
20910,31,ZCTA5 20910,median_income,90122,5944
21794,1,ZCTA5 21794,median_income,171250,66008
