GEOID,county,variable,estimate,moe,year,population,murder,rape,robbery,agg_assault,b_e,larceny_theft,m_v_theft,grand_total,percent_change,violent_crime_total,violent_crime_percent,violent_crime_percent_change,property_crime_totals,property_crime_percent,property_crime_percent_change,overall_crime_rate_per_100_000_people,overall_percent_change_per_100_000_people,violent_crime_rate_per_100_000_people,violent_crime_rate_percent_change_per_100_000_people,property_crime_rate_per_100_000_people,property_crime_rate_percent_change_per_100_000_people,murder_per_100_000_people,rape_per_100_000_people,robbery_per_100_000_people,agg_assault_per_100_000_people,b_e_per_100_000_people,larceny_theft_per_100_000_people,m_v_theft_per_100_000_people,murder_rate_percent_change_per_100_000_people,rape_rate_percent_change_per_100_000_people,robbery_rate_percent_change_per_100_000_people,agg_assault_rate_percent_change_per_100_000_people,b_e_rate_percent_change_per_100_000_people,larceny_theft_rate_percent_change_per_100_000_people,m_v_theft_rate_percent_change_per_100_000_people
24001,Allegany County,median_income,45893,1798,2019,70140,0,24,44,160,349,1111,61,1749,-7.8,228,13,-9.9,1521,87,-7.4,2493.6,-7.2,325.1,-9.3,2168.5,-6.8,0,34.2,62.7,228.1,497.6,1584,87,-100,20.7,5.4,-14.8,-13.1,-5.4,7.7
24003,Anne Arundel County,median_income,100798,1103,2019,577904,20,159,438,1220,1143,8742,659,12381,-1.3,1837,14.8,-10.3,10544,85.2,0.5,2142.4,-2,317.9,-11,1824.5,-0.2,3.5,27.5,75.8,211.1,197.8,1512.7,114,-20.6,-6.1,-8.1,-12.4,-16.5,2.8,-4.9
24005,Baltimore County,median_income,76866,944,2019,827068,50,384,1163,3140,2567,16266,1602,25172,-3.9,4737,18.8,-2.4,20435,81.2,-4.2,3043.5,-3.6,572.7,-2.1,2470.8,-4,6,46.4,140.6,379.7,310.4,1966.7,193.7,79.1,9.4,-12.8,0.5,-1.4,-3.4,-13
24009,Calvert County,median_income,109313,3736,2019,91927,0,18,19,96,122,678,40,973,-5.8,133,13.7,19.8,840,86.3,-8.9,1058.4,-6.6,144.7,18.8,913.8,-9.7,0,19.6,20.7,104.4,132.7,737.5,43.5,-100,19,-0.9,25.2,-18.3,-7.4,-17.4
24011,Caroline County,median_income,58638,3620,2019,33170,1,6,14,24,111,369,18,543,3.6,45,8.3,-15.1,498,91.7,5.7,1637,2.9,135.7,-15.7,1501.4,5,3,18.1,42.2,72.4,334.6,1112.5,54.3,0,-40.4,-18.2,-8.3,31.3,-0.7,-0.7
24013,Carroll County,median_income,96769,1983,2019,167742,1,37,29,181,213,1311,72,1844,-5,248,13.4,-9.8,1596,86.6,-4.3,1099.3,-5.7,147.8,-10.5,951.5,-5,0.6,22.1,17.3,107.9,127,781.6,42.9,-0.7,11.3,-36,-8.3,-2.1,-4.2,-23.1
24015,Cecil County,median_income,76887,2518,2019,102522,2,20,63,221,331,1610,143,2390,-5.2,306,12.8,-14,2084,87.2,-3.7,2331.2,-5.5,298.5,-14.4,2032.7,-4,2,19.5,61.5,215.6,322.9,1570.4,139.5,-0.4,-28.8,-27.9,-7.9,-21.7,0.1,1.8
24017,Charles County,median_income,100003,2950,2019,162578,5,64,127,393,304,2067,162,3122,-1.1,589,18.9,-9.5,2533,81.1,1,1920.3,-2.5,362.3,-10.8,1558,-0.4,3.1,39.4,78.1,241.7,187,1271.4,99.6,-55.2,31.5,3.5,-17.7,22.8,-2.5,-7.7
24019,Dorchester County,median_income,52917,3255,2019,31754,2,12,21,101,175,673,29,1013,2.1,136,13.4,-13.9,877,86.6,5.2,3190.1,2.4,428.3,-13.7,2761.9,5.4,6.3,37.8,66.1,318.1,551.1,2119.4,91.3,100.5,140.6,-27.4,-17.7,-14.4,11.7,16.3
24021,Frederick County,median_income,97730,1897,2019,257177,3,61,87,419,412,2318,116,3416,-3,570,16.7,6.9,2846,83.3,-4.8,1328.3,-4.7,221.6,5.1,1106.6,-6.5,1.2,23.7,33.8,162.9,160.2,901.3,45.1,-1.8,5.1,-17,11.2,11.2,-9.6,6.5
